experiment_id,dataset,scheme,group,EvidenceCoverage@5,ContextPrecision@5,ContextWaste@5,ContextTokens@5
20260728T100028Z-multisection-ablation,current_dev,S0,Overall,0.9633255108397311,0.2084850022074075,0.7915149977925925,
20260728T100028Z-multisection-ablation,current_dev,S0,TERMINOLOGY,1.0,0.1880358921538665,0.8119641078461335,
20260728T100028Z-multisection-ablation,current_dev,S0,PARAPHRASE,1.0,0.17735325505240518,0.8226467449475948,
20260728T100028Z-multisection-ablation,current_dev,S0,DIRECT_FACT,0.9998991121872478,0.16224074335504865,0.8377592566449514,
20260728T100028Z-multisection-ablation,current_dev,S0,MULTI_SECTION,0.7926236505151296,0.383322264767548,0.6166777352324521,
20260728T100028Z-multisection-ablation,current_dev,S0,HARD_NEGATIVE,0.9792663476874003,0.17625998018133943,0.8237400198186606,
20260728T100028Z-multisection-ablation,current_dev,S1,Overall,0.9339182442298688,0.2002918635150025,0.7997081364849975,
20260728T100028Z-multisection-ablation,current_dev,S1,TERMINOLOGY,1.0,0.19327527545150436,0.8067247245484955,
20260728T100028Z-multisection-ablation,current_dev,S1,PARAPHRASE,1.0,0.17624646275324388,0.8237535372467562,
20260728T100028Z-multisection-ablation,current_dev,S1,DIRECT_FACT,0.9998991121872478,0.16016927010531884,0.8398307298946812,
20260728T100028Z-multisection-ablation,current_dev,S1,MULTI_SECTION,0.6815125394040185,0.34987828681049643,0.6501217131895035,
20260728T100028Z-multisection-ablation,current_dev,S1,HARD_NEGATIVE,0.8888888888888888,0.15458064721420492,0.8454193527857952,
20260728T100028Z-multisection-ablation,current_dev,S2,Overall,0.9339182442298688,0.1999598656046985,0.8000401343953015,
20260728T100028Z-multisection-ablation,current_dev,S2,TERMINOLOGY,1.0,0.19327527545150436,0.8067247245484955,
20260728T100028Z-multisection-ablation,current_dev,S2,PARAPHRASE,1.0,0.17624646275324388,0.8237535372467562,
20260728T100028Z-multisection-ablation,current_dev,S2,DIRECT_FACT,0.9998991121872478,0.16016927010531884,0.8398307298946812,
20260728T100028Z-multisection-ablation,current_dev,S2,MULTI_SECTION,0.6815125394040185,0.34834137570402574,0.6516586242959742,
20260728T100028Z-multisection-ablation,current_dev,S2,HARD_NEGATIVE,0.8888888888888888,0.15393699008369982,0.8460630099163002,
20260728T100028Z-multisection-ablation,current_dev,S3,Overall,0.9357742292771328,0.11775595425379232,0.8822440457462076,2638.904109589041
20260728T100028Z-multisection-ablation,current_dev,S3,TERMINOLOGY,1.0,0.10096896815491622,0.8990310318450838,2561.5
20260728T100028Z-multisection-ablation,current_dev,S3,PARAPHRASE,0.9473684210526315,0.09636927702839607,0.903630722971604,2548.2631578947367
20260728T100028Z-multisection-ablation,current_dev,S3,DIRECT_FACT,0.9670096852300242,0.09036785577435677,0.9096321442256432,2703.2380952380954
20260728T100028Z-multisection-ablation,current_dev,S3,MULTI_SECTION,0.8336929456166828,0.24467887043652828,0.7553211295634717,2610.3333333333335
20260728T100028Z-multisection-ablation,current_dev,S3,HARD_NEGATIVE,0.8888888888888888,0.07996326251427639,0.9200367374857237,2821.4444444444443
20260728T100028Z-multisection-ablation,hard_dev,S0,Overall,0.7019180540308905,0.19093392899276476,0.8090660710072353,
20260728T100028Z-multisection-ablation,hard_dev,S0,PARAPHRASE,0.7709532414783323,0.18107520133460112,0.8189247986653989,
20260728T100028Z-multisection-ablation,hard_dev,S0,CODE_BEHAVIOR,0.8038277511961722,0.14551871348124065,0.8544812865187593,
20260728T100028Z-multisection-ablation,hard_dev,S0,IMPLICIT_PARAPHRASE,0.75,0.15721764654942783,0.8427823534505722,
20260728T100028Z-multisection-ablation,hard_dev,S0,TERMINOLOGY,0.833156779661017,0.24386989139985069,0.7561301086001494,
20260728T100028Z-multisection-ablation,hard_dev,S0,TERMINOLOGY_DISAMBIGUATION,0.8748675847457628,0.22302263614899204,0.776977363851008,
20260728T100028Z-multisection-ablation,hard_dev,S0,CONSTRAINT_BASED_SELECTION,0.6114564271635186,0.22653998058914512,0.7734600194108548,
20260728T100028Z-multisection-ablation,hard_dev,S0,SCENARIO_DIAGNOSIS,0.5966567102428884,0.18190295943592497,0.8180970405640751,
20260728T100028Z-multisection-ablation,hard_dev,S0,HARD_NEGATIVE,0.6779849674092222,0.18808726371710374,0.8119127362828962,
20260728T100028Z-multisection-ablation,hard_dev,S0,IMPLEMENTATION_DIFFERENCE,1.0,0.17834618148209172,0.8216538185179083,
20260728T100028Z-multisection-ablation,hard_dev,S0,VERSION_IMPLEMENTATION_DIFFERENCE,1.0,0.20945238452935383,0.7905476154706461,
20260728T100028Z-multisection-ablation,hard_dev,S0,MULTI_SECTION,0.3888888888888889,0.17962017657840432,0.8203798234215958,
20260728T100028Z-multisection-ablation,hard_dev,S0,MULTI_SECTION_REASONING,0.4,0.18355128215480102,0.816448717845199,
20260728T100028Z-multisection-ablation,hard_dev,S1,Overall,0.7123347206975571,0.19724357564496167,0.8027564243550384,
20260728T100028Z-multisection-ablation,hard_dev,S1,PARAPHRASE,0.7709532414783323,0.18107520133460112,0.8189247986653989,
20260728T100028Z-multisection-ablation,hard_dev,S1,CODE_BEHAVIOR,0.8038277511961722,0.14551871348124065,0.8544812865187593,
20260728T100028Z-multisection-ablation,hard_dev,S1,IMPLICIT_PARAPHRASE,0.75,0.15721764654942783,0.8427823534505722,
20260728T100028Z-multisection-ablation,hard_dev,S1,TERMINOLOGY,0.9164901129943503,0.284624779072756,0.715375220927244,
20260728T100028Z-multisection-ablation,hard_dev,S1,TERMINOLOGY_DISAMBIGUATION,0.9373675847457628,0.25450266992450715,0.7454973300754929,
20260728T100028Z-multisection-ablation,hard_dev,S1,CONSTRAINT_BASED_SELECTION,0.6114564271635186,0.23220917715595965,0.7677908228440403,
20260728T100028Z-multisection-ablation,hard_dev,S1,SCENARIO_DIAGNOSIS,0.5966567102428884,0.18190295943592497,0.8180970405640751,
20260728T100028Z-multisection-ablation,hard_dev,S1,HARD_NEGATIVE,0.6779849674092222,0.19197617793497168,0.8080238220650283,
20260728T100028Z-multisection-ablation,hard_dev,S1,IMPLEMENTATION_DIFFERENCE,1.0,0.17834618148209172,0.8216538185179083,
20260728T100028Z-multisection-ablation,hard_dev,S1,VERSION_IMPLEMENTATION_DIFFERENCE,1.0,0.20945238452935383,0.7905476154706461,
20260728T100028Z-multisection-ablation,hard_dev,S1,MULTI_SECTION,0.3888888888888889,0.17962017657840432,0.8203798234215958,
20260728T100028Z-multisection-ablation,hard_dev,S1,MULTI_SECTION_REASONING,0.4,0.18355128215480102,0.816448717845199,
20260728T100028Z-multisection-ablation,hard_dev,S2,Overall,0.7123347206975571,0.19766424079467806,0.802335759205322,
20260728T100028Z-multisection-ablation,hard_dev,S2,PARAPHRASE,0.7709532414783323,0.18107520133460112,0.8189247986653989,
20260728T100028Z-multisection-ablation,hard_dev,S2,CODE_BEHAVIOR,0.8038277511961722,0.14551871348124065,0.8544812865187593,
20260728T100028Z-multisection-ablation,hard_dev,S2,IMPLICIT_PARAPHRASE,0.75,0.15721764654942783,0.8427823534505722,
20260728T100028Z-multisection-ablation,hard_dev,S2,TERMINOLOGY,0.9164901129943503,0.28799010027048716,0.7120098997295128,
20260728T100028Z-multisection-ablation,hard_dev,S2,TERMINOLOGY_DISAMBIGUATION,0.9373675847457628,0.2570266608228055,0.7429733391771944,
20260728T100028Z-multisection-ablation,hard_dev,S2,CONSTRAINT_BASED_SELECTION,0.6114564271635186,0.23220917715595965,0.7677908228440403,
20260728T100028Z-multisection-ablation,hard_dev,S2,SCENARIO_DIAGNOSIS,0.5966567102428884,0.18190295943592497,0.8180970405640751,
20260728T100028Z-multisection-ablation,hard_dev,S2,HARD_NEGATIVE,0.6779849674092222,0.19197617793497168,0.8080238220650283,
20260728T100028Z-multisection-ablation,hard_dev,S2,IMPLEMENTATION_DIFFERENCE,1.0,0.17834618148209172,0.8216538185179083,
20260728T100028Z-multisection-ablation,hard_dev,S2,VERSION_IMPLEMENTATION_DIFFERENCE,1.0,0.20945238452935383,0.7905476154706461,
20260728T100028Z-multisection-ablation,hard_dev,S2,MULTI_SECTION,0.3888888888888889,0.17962017657840432,0.8203798234215958,
20260728T100028Z-multisection-ablation,hard_dev,S2,MULTI_SECTION_REASONING,0.4,0.18355128215480102,0.816448717845199,
20260728T100028Z-multisection-ablation,hard_dev,S3,Overall,0.8024631555840566,0.11406457859373419,0.8859354214062658,2826.3125
20260728T100028Z-multisection-ablation,hard_dev,S3,PARAPHRASE,0.8582548287799195,0.10825623693025677,0.8917437630697432,2824.4761904761904
20260728T100028Z-multisection-ablation,hard_dev,S3,CODE_BEHAVIOR,0.8038277511961722,0.07502098108524262,0.9249790189147573,2968.0
20260728T100028Z-multisection-ablation,hard_dev,S3,IMPLICIT_PARAPHRASE,0.75,0.06574110989135215,0.9342588901086478,2886.75
