dataset,case,sample_id,question,fixed_coverage_at_5,structure_coverage_at_5,multi_query_coverage_at_5,structure_top_5,multi_query_top_5
current_dev,STRUCTURE_SUCCESS_FIXED_FAIL,java_real_candidate_026,AOT 的主要收益和使用代价是什么？,0.0,1.0,1.0,chunk_664c81f382010265|chunk_352cba5a9051c989|chunk_28fa7259bba09f3a|chunk_6e288702bd2e78cc|chunk_1ae8902776b588ef,chunk_664c81f382010265|chunk_352cba5a9051c989|chunk_28fa7259bba09f3a|chunk_6e288702bd2e78cc|chunk_1ae8902776b588ef
current_dev,STRUCTURE_SUCCESS_FIXED_FAIL,java_real_candidate_115,TCP 连接在什么条件下会从四次挥手表现为三次挥手？,0.0,1.0,1.0,chunk_01eef7658b6567f5|chunk_a731dcc321577be9|chunk_d9184e5f9b74f404|chunk_4cc0085ccfcbce00|chunk_611eab85fc947975,chunk_01eef7658b6567f5|chunk_a731dcc321577be9|chunk_d9184e5f9b74f404|chunk_4cc0085ccfcbce00|chunk_611eab85fc947975
current_dev,MULTI_QUERY_DEGRADE,java_real_candidate_131,面试官追问 synchronized 和 ReentrantLock：两者分别在哪一层实现，需要可中断、公平或超时获取锁时该怎么选？,1.0,1.0,0.5,chunk_5a651496a403832a|chunk_a1c09f22440dd6ee|chunk_a86487c87a5b7aee|chunk_84de17df96bff545|chunk_c5f1d09666f176e2,chunk_a1c09f22440dd6ee|chunk_5a651496a403832a|chunk_764f0091cf55219f|chunk_cf39e457e3c48c6d|chunk_c5f1d09666f176e2
current_dev,MULTI_QUERY_DEGRADE,java_real_candidate_141,面对缓存雪崩、穿透和热点 key 击穿，保护数据库的手段为什么不能用同一套？,1.0,1.0,0.6666666666666666,chunk_c2a2310b83adb1db|chunk_5aa6d4c91f0b5082|chunk_a6bed94803080bc7|chunk_68adfae7569ed1dd|chunk_6922f7ebcbba4679,chunk_c2a2310b83adb1db|chunk_68adfae7569ed1dd|chunk_a6bed94803080bc7|chunk_6922f7ebcbba4679|chunk_ef1e1d123d60deab
current_dev,STRUCTURE_SUCCESS_FIXED_FAIL,java_real_candidate_143,乐观锁和悲观锁对并发冲突的基本假设是什么，它们分别会让竞争线程怎样等待？,0.5,1.0,1.0,chunk_1755096c381c2609|chunk_ce84c02b1c30514a|chunk_44a5630dfc68f161|chunk_0bf243e2e9fd4445|chunk_841414fc9e7939d9,chunk_44a5630dfc68f161|chunk_1755096c381c2609|chunk_0bf243e2e9fd4445|chunk_ce84c02b1c30514a|chunk_841414fc9e7939d9
current_dev,STRUCTURE_SUCCESS_FIXED_FAIL,java_real_candidate_148,并发写 Map 时，直接用 HashMap 会出什么问题，ConcurrentHashMap 在 JDK 8 里如何缩小冲突范围？,0.5,1.0,1.0,chunk_268e8165aacc785b|chunk_e4c91889f06d9425|chunk_b5ae42f7c654f712|chunk_3821329dbe2b3e2c|chunk_0080ebc4b2b683da,chunk_268e8165aacc785b|chunk_e4c91889f06d9425|chunk_b5ae42f7c654f712|chunk_3821329dbe2b3e2c|chunk_0080ebc4b2b683da
current_dev,FIXED_SUCCESS_STRUCTURE_FAIL,java_real_candidate_151,poll 相比 select 改掉了哪些接口限制，又有哪些 O(N) 性能问题原封不动地留下了？,1.0,0.6666666666666666,0.6666666666666666,chunk_923293fe33eafaa1|chunk_f8d739e9d64237b0|chunk_357d30ef6d966a09|chunk_894f82eb74ae53d1|chunk_aed8e7f6a236d39b,chunk_923293fe33eafaa1|chunk_f8d739e9d64237b0|chunk_357d30ef6d966a09|chunk_894f82eb74ae53d1|chunk_aed8e7f6a236d39b
current_dev,FIXED_SUCCESS_STRUCTURE_FAIL,java_real_candidate_153,Spring 里的 IoC 和 AOP 分别解决哪类耦合问题，为什么不能把它们当成同一个概念？,1.0,0.5,0.5,chunk_089f59af356ff1b0|chunk_0028bea4844894bb|chunk_4f06fc44fe4a4510|chunk_1ae8902776b588ef|chunk_9829cac02e756857,chunk_089f59af356ff1b0|chunk_0028bea4844894bb|chunk_4f06fc44fe4a4510|chunk_1ae8902776b588ef|chunk_d9dce9576634ca2b
current_dev,MULTI_QUERY_DEGRADE,java_real_candidate_154,用 Redis 和 ZooKeeper 实现分布式锁时，获取与释放锁的核心数据结构和操作分别是什么？,1.0,1.0,0.5,chunk_0452b492bb0aefb7|chunk_9040f533e4b1d208|chunk_7fdf28233499c225|chunk_f8508da9921b99c1|chunk_966e7a9803d8ff48,chunk_1f946e2ea245604d|chunk_5491ace3dee452db|chunk_7fdf28233499c225|chunk_0a08c9acb148d21f|chunk_0452b492bb0aefb7
current_dev,MULTI_QUERY_DEGRADE,java_real_candidate_178,select 在 fd 数量、集合传递和就绪查找上分别有什么扩展性问题？,1.0,1.0,0.0,chunk_aaf6fb8b17f4b16e|chunk_57e86ce4768bc8bf|chunk_894f82eb74ae53d1|chunk_8a7b3acb7f667bbf|chunk_357d30ef6d966a09,chunk_4ea158b5d2de4dde|chunk_894f82eb74ae53d1|chunk_357d30ef6d966a09|chunk_5af729f85b78add2|chunk_8a7b3acb7f667bbf
